Hotel Name,Attraction Places,Hotel Possible Error,Attraction Possible Error,,kerala,8
https://www.tripadvisor.in/Hotels-g1162521-Kedarnath_Rudraprayag_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g1162521-Activities-Kedarnath_Rudraprayag_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g297689-Mussoorie_Dehradun_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g297689-Activities-Mussoorie_Dehradun_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g1091050-Badrinath_Chamoli_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g1091050-Activities-Badrinath_Chamoli_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g679030-Ranikhet_Almora_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g679030-Activities-Ranikhet_Almora_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g1222155-Uttarkashi_Uttarkashi_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g1222155-Activities-Uttarkashi_Uttarkashi_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g304558-Kolkata_Calcutta_Kolkata_District_West_Bengal-Hotels.html,https://www.tripadvisor.in/Attractions-g304558-Activities-Kolkata_Calcutta_Kolkata_District_West_Bengal.html,,,,,
https://www.tripadvisor.in/Hotels-g659786-Siliguri_Darjeeling_District_West_Bengal-Hotels.html,https://www.tripadvisor.in/Attractions-g659786-Activities-Siliguri_Darjeeling_District_West_Bengal.html,,1,,,
https://www.tripadvisor.in/Hotels-g304557-Darjeeling_Darjeeling_District_West_Bengal-Hotels.html,https://www.tripadvisor.in/Attractions-g304557-Activities-Darjeeling_Darjeeling_District_West_Bengal.html,,,,,
https://www.tripadvisor.in/Hotels-g2287320-Hooghly_Hooghly_District_West_Bengal-Hotels.html,https://www.tripadvisor.in/Attractions-g2287320-Activities-Hooghly_Hooghly_District_West_Bengal.html,,,,,
https://www.tripadvisor.in/Hotels-g1549815-Jalpaiguri_Jalpaiguri_District_West_Bengal-Hotels.html,https://www.tripadvisor.in/Attractions-g1549815-Activities-Jalpaiguri_Jalpaiguri_District_West_Bengal.html,,,,,
https://www.tripadvisor.in/Hotels-g304554-Mumbai_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g304554-Activities-Mumbai_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g641715-Ratnagiri_Ratnagiri_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g641715-Activities-Ratnagiri_Ratnagiri_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g1227937-Malvan_Sindhudurg_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g1227937-Activities-Malvan_Sindhudurg_District_Maharashtra.html,,1,,,
https://www.tripadvisor.in/Hotels-g297654-Pune_Pune_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g297654-Activities-Pune_Pune_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g297649-Aurangabad_Aurangabad_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g297649-Activities-Aurangabad_Aurangabad_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g635749-Mahabaleshwar_Satara_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g635749-Activities-Mahabaleshwar_Satara_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g608474-Lonavala_Pune_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g608474-Activities-Lonavala_Pune_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g1010231-Alibaug_Raigad_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g1010231-Activities-Alibaug_Raigad_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g662323-Nagpur_Nagpur_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g662323-Activities-Nagpur_Nagpur_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g503701-Matheran_Raigad_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g503701-Activities-Matheran_Raigad_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g737166-Kolhapur_Kolhapur_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g737166-Activities-Kolhapur_Kolhapur_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g1156414-Ahmednagar_Ahmednagar_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g1156414-Activities-Ahmednagar_Ahmednagar_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g303883-Nashik_Nashik_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g303883-Activities-Nashik_Nashik_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g1162199-Satara_Satara_District_Maharashtra-Hotels.html,https://www.tripadvisor.in/Attractions-g1162199-Activities-Satara_Satara_District_Maharashtra.html,,,,,
https://www.tripadvisor.in/Hotels-g503702-Shillong_East_Khasi_Hills_District_Meghalaya-Hotels.html,https://www.tripadvisor.in/Attractions-g503702-Activities-Shillong_East_Khasi_Hills_District_Meghalaya.html,,,,,
https://www.tripadvisor.in/Hotels-g503692-Guwahati_Kamrup_Metropolitan_District_Assam-Hotels.html,https://www.tripadvisor.in/Attractions-g503692-Activities-Guwahati_Kamrup_Metropolitan_District_Assam.html,,,,,
https://www.tripadvisor.in/Hotels-g2285433-Hajo_Kamrup_District_Assam-Hotels.html,https://www.tripadvisor.in/Attractions-g2285433-Activities-Hajo_Kamrup_District_Assam.html,,,,,
