Hotel Names,Price,Rating,Amenities,Info,Attractions,Address,City,Latitude,Longitude
Kalappura Homestay,$ 12,5.0,Free parkingFree High Speed Internet (WiFi)Free internetWifiInternetBaggage storageLaundry service,Kalappura homestay is situated in a peaceful & silent locality in Alleppey Town which is 200m away from the canal side. Also the Homestay is around 5 mins walk from KSRTC bus station and the ferry/boating area and 5 mins walk to the busy city center & market as well. Ours is a wonderful homestay with all the facilities what you get in your house.Its a Home away from Home.,,"Kalappurackal House Mullackal Road 1 km east of Mullackal junction, Alappuzha 688011 India",Alappuzha,9.4982114,76.3444399
Oxygen Resorts Alleppey,$ 49,5.0,Free parkingFree internetFitness Centre with Gym / Workout RoomPoolRestaurantChildren Activities (Kid / Family Friendly)Kids clubAirport transportationInternetIndoor poolOutdoor poolBreakfast buffetCar hireBusiness Centre with Internet AccessBanquet roomMeeting roomsSpa24-hour securityConciergeDry cleaningLaundry service,"Oxygen Resorts Allepey is set amidst the tropical greenery along the banks of Rajiv Jetty, overlooking the Kerala Backwaters. The resort is built in resemblance to a Rajasthani palace, and is unmatched in its grandeur and style. Situated less than 1 km from the famed Nehru Trophy Finishing Point, the resort is major attraction for travel enthusiasts. Oxygen Resorts Allepey holds the aura of being untainted; within the broad hallways of the resort, one can experience serenity. Living up-to the expectations of its architectural resemblance to a palace, the resort is uncompromising in its magnificence with 81 rooms spread across five floors. Customers can take full advantage of features like full-service spa, balconies with view of the city/garden, parking area within premises, conference rooms, and outdoor pool. The resort has deluxe rooms, superior rooms, and suite rooms.",,"Boat Jetty Road Finishing Point, Alappuzha 688013 India",Alappuzha,9.5015171,76.3516997
Treebo Tryst Palmyra Grand Suite,$ 24,4.5,Free parkingFree High Speed Internet (WiFi)SaunaFree breakfastBicycle rentalBabysittingChildren Activities (Kid / Family Friendly)Business Centre with Internet AccessFree internetWifiInternetRestaurantBreakfast availableBreakfast buffetMeeting roomsBaggage storageCurrency exchangeNon-smoking hotelDry cleaningLaundry serviceIroning service,"Treebo Palmyra Grand Suite is a premier business hotel in Alleppey, Kerala. The hotel’s remarkable exterior and tastefully done interiors, have you in the bag, right from the entrance of the hotel. The hotel offers an array of modern amenities like free Wi-Fi, complimentary breakfast, room service, the capacity to host business events, an in-house restaurant- Rice Bowl, wheelchair facility, and free parking space. Alleppey, the Venice of East is visited by tourists for its rustic backwaters, houseboat rides and beaches nearby. With an on-site travel desk that offers various tour packages, you can experience the best parts of Alleppey conveniently.",,"Old Medical College Junction Opp. Tirumala Devaswom Higher Secondary School, Alappuzha 688011 India",Alappuzha,9.4891437,76.3387369
Abad Turtle Beach,$ 89,4.5,Free parkingFree High Speed Internet (WiFi)SaunaPoolFree breakfastBeachBicycle rentalAirport transportationFree internetWifiInternetPool / beach towelsOutdoor poolRestaurantBreakfast buffetTaxi serviceMeeting roomsSpaFacial treatmentsFoot massageFull body massageHead massageMassage24-hour securityConciergeCurrency exchangeSun umbrellasDry cleaningLaundry serviceIroning service,"Spread across an area of 13 acres of land, Turtle Beach Resort is ideally located at Mararikulam, a fishing village about 30 kms from Kochi. The resort overlooks the white sandy Marari Beach and has a rivulet flowing on one side. Stretching across the expansive area are 16 cottages comprising 29 beach cottages and villa. Facilities: The rooms are spacious, air-conditioned with en-suite toilets and individual patios. Room are equipped with TV, telephone, fridge, tea/coffee maker and individual safe deposit locker, Ayurveda centre, doctor on call, currency exchange, credit card accepted, travel arrangements.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","Mararikulam, Alappuzha 688567 India",Alappuzha,9.4980001,76.333482
Punnamada Resort,$ 123,4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBicycle rentalCanoeingChildren Activities (Kid / Family Friendly)Airport transportationParkingFree internetWifiInternetPool / beach towelsPool with viewOutdoor poolBar / loungeCoffee shopRestaurantBreakfast buffetGame roomBilliardsFishingTable tennisCar hireMeeting roomsSpaMassageBaggage storageConciergeGift shopNewspaperNon-smoking hotelShops24-hour front deskDry cleaningLaundry serviceIroning service,"Punnamada Resorts is nestled on the serene banks of Vembanad Lake and gives a world of heritage and luxury. The divine ambiance and the hospitality lead to a total relaxation of mind, body and soul and it highlighted the rich heritage and the essence of Kerala in its true form with a focus on the eco system and being an environment friendly resort by taking initiative in various fronts. The green leaf certified Ayurveda centre at Punnamada puts a new life into yourself and to regain vigor and vitality and lead a stress-free life. The essence of Kerala and its magical backwaters can be experienced aboard Punnamada’s exclusive 'Kettuvallam' (houseboats) by the resort, the houseboats of Punnamada equipped with the best of luxuries.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Revi Karunakaran Museum')","Alleppey 6 Punnamada Resort Private Limited, Alappuzha 688006 India",Alappuzha,9.4958949,76.32089786729748
Alleppey Beach Garden,$ 44,5.0,Free High Speed Internet (WiFi)Free breakfastBeachCanoeing offsiteChildren Activities (Kid / Family Friendly)Car hireFax / photocopyingBaggage storageFree internetWifiPublic wifiInternetBar / loungeBoard games / puzzlesCurrency exchangeNewspaperOutdoor furnitureSun loungers / beach chairsSun terraceSun umbrellasPrivate check-in / check-outDry cleaning,This place is situated in a quiet beach near Alleppey Beach surrounded with garden view and beach front.,"('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","34/1001A, Esi Ward, Alappuzha 688002 India",Alappuzha,22.3511148,78.6677428
Venice Castle,$ 32,5.0,Free parkingFree High Speed Internet (WiFi)Yoga classesFree breakfastBicycle rentalCanoeing offsiteFax / photocopyingBaggage storageSecured parkingFree internetWifiInternetCurrency exchangeNewspaperShared lounge / TV area24-hour front desk,"Venice castle is the home stay of your dreams It is ideally located in the very heart of the town. Yet, Venice castle is cut off from the din and bustle of the town by wooded surroundings that lends an ambiance of the country side. The home stay is set in large of lush green plants, landscaped premises and a well mowed lawn with garden lights.Peace and alms prevails over the place which is broken only with the chiming of soft bells from the nearby temple, the chirruping of birds or the playful whistling of the squirrels in the tree.",,"Opp.to D.T.P.C Office Behind CANARA Bank, Boat Jetty Road, Alappuzha 688011 India",Alappuzha,9.5015171,76.3516997
Lake Paradise Resorts,$ 28,4.5,Free public parking nearbyFree High Speed Internet (WiFi)Free breakfastBoatingChildren Activities (Kid / Family Friendly)Pets Allowed ( Dog / Pet Friendly )Taxi serviceCurrency exchangePaid private parking nearbyWifiRestaurantBreakfast availableComplimentary welcome drinkOutdoor furnitureExpress check-in / check-outPrivate check-in / check-outLaundry service,"The Lake Paradise Resort is located in Alleppey and features a garden. This property also provides guests with a restaurant. The property is a 14-minute walk from Nehru Trophy Boat Race and 901 m from Mullakkal Rajarajeswari Temple. The private bathroom is fitted with a shower. Private rooms have a balcony with lake views, private entrance and outdoor furniture. Private bathroom comes with a bath or shower. There is also a mosquito net and clothes rack. Guests can enjoy free WiFi in all rooms, 24-hour front desk, 24-hour room service, express check-in & check-out, luggage storage. Breakfast is available daily, and includes continental and Asian options. Fishing is among the activities that guests can enjoy near the bed and breakfast. Nehru Trophy Finishing Point is a 13-minute walk from The Lake Paradise Resort, while Alleppey Lighthouse is 1.7 mi away. Kochi International Airport is 45 mi from the property.","('Vembanad Lake', 'Bay Island Driftwood Museum', 'Kottayam Cheriapally (St. Mary’s Orthodox Syrian Church)', 'Kerala Stag')","Near Vilakumaram Jetty, Alappuzha 688006 India",Alappuzha,9.5007572,76.344077
Kondai Lip Backwater Heritage Resort,,4.5,Free parkingFree internetPool with viewFree breakfastBadmintonBicycle rentalAirport transportationSpaPublic wifiInternetRestaurantBreakfast availableBreakfast buffetFishingWalking toursTaxi serviceBaggage storageConciergeCurrency exchange24-hour check-in24-hour front deskLaundry service,"Turn off the highway to Alleppey, onto a narrower road that winds its way through sleepy hamlets, going past prawn and shrimp farms and submerged fields of paddy. You gradually begin to feel the overwhelming presence of water. At times in the course of the journey it seems that for an instant one has dropped below the waterline. ""Kondai Lip"" Set amidst palms and lush tropical vegetation, traditional air conditioned cottages with canal facing sit outs, built with laterite and wood, elegantly furnished and equipped with all modern amenities. Just 55 km from Cochin International Airport and 18 kms towards Fort Cochin.Having its own Ayur health care Centre with Green Leaf accreditation.",,"Karumanchery Holiday Resorts Pvt Ltd Ezhupunna South PO, Alappuzha 688537 India",Alappuzha,9.8199115,76.3021676
Pagoda Resorts Alleppey,$ 30,3.0,Free parkingWifiFitness Centre with Gym / Workout RoomPoolFree breakfastBusiness Centre with Internet AccessConference facilitiesDry cleaningOutdoor poolBar / loungeRestaurantBreakfast buffetBanquet roomMeeting roomsLaundry service,Pagoda Resorts is the all new addition to the fascinating silhouette of Alleppey. A perfect blend of ethnic oriental charm accentuated with rooftops similar to Japanese Pagodas and stunning opulence that is laid back yet refreshingly elegant Pagoda was designed around the lay of the land yet tastefully incorporating traditional elements of Kerala.,,"CCNB Road Chungam, Alappuzha 688011 India",Alappuzha,9.4900261,76.3627075
Vrindavanam Heritage Home,$ 10,4.5,Free parkingFree High Speed Internet (WiFi)Bar / loungeBeachChildren Activities (Kid / Family Friendly)Pets Allowed ( Dog / Pet Friendly )Airport transportationBusiness Centre with Internet AccessFree internetWifiInternetRestaurantShuttle bus service,"""The dream house of priceless memory"" Heaven of Alleppey Rich, mystical cultural heritage that spans back through the ages: Alleppey opens its secrets to those who wish to leave behind the stresses and worries of everyday life. Situated close to the beach, Vrindavanam Heritage Home epitomizes Alleppey's true spirit and flavour. As the sole Heritage Home approved by the Govt. of Kerala (KTDC Alleppey), every day is a celebration of music, dance, fun and elation at Vrindavanam Heritage Home. Vrindavanam Heritage Home offers the best in accommodation and cuisine with plenty of facilities and services to play the perfect host. With 20 well appointed, spacious guest rooms and expansive options for dining, from Pan Asian to delectable Kerala cuisines, Vrindavanam Heritage Home promises an exemplary experience with a plethora of recreational tour packages for you and your family so that the fun never stops. Beautiful and exotic a place is Kerala, best known for its sun-kissed beaches, serene blue seas and lush greenery which has been very well maintained; you find a reflection of the same at Vrindavanam. This Heritage Home also boasts a meandering garden area that stretches across the property, making for a location that is a grand sight to behold. Being the only Heritage Home, we continue to offer our guests the best of service and amenities. A unique abode in the land of Alleppey.",,"Zachariya Bazar, Alappuzha 688001 India",Alappuzha,9.4917721,76.3260587
Captain's Cabin Luxury Backwater Resort,,5.0,Free parkingFree High Speed Internet (WiFi)Free breakfastCanoeingWater parkBabysittingChildren Activities (Kid / Family Friendly)Business Centre with Internet AccessFree internetWifiInternetFishingMeeting roomsFax / photocopyingNewspaperNon-smoking hotelShared lounge / TV areaATM on site,"Captain's Cabin Luxury Backwater Resort is an excellent choice for travellers visiting Alappuzha, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.	Rooms at Captain's Cabin Luxury Backwater Resort offer a kitchenette and air conditioning providing exceptional comfort and convenience, and guests can go online with free wifi.	Newspaper is one of the conveniences offered at this small hotel. If you are driving to Captain's Cabin Luxury Backwater Resort, free parking is available.	If you like Indian restaurants, Captain's Cabin Luxury Backwater Resort is conveniently located near Memories Multicuisine Restaurant, Avees Puttu House, and River Grill Restaurant.	Enjoy your stay in Alappuzha!	","('Ambalapuzha Sree Krishna Temple', 'Mullakkal Rajeshwari Temple', ""St. Mary's Forane Church Pulincunnoo"", 'The Alleppey Billiards')","Changanassery Highway Thekkekara P.O, Nedumudy, Alappuzha 688503 India",Alappuzha,9.44383,76.4060027
Pozhiyoram Beach Resort,$ 24,3.5,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomFree breakfastBeachChildren Activities (Kid / Family Friendly)Pets Allowed ( Dog / Pet Friendly )SpaFree internetWifiInternetRestaurant,"The Pozhiyoram Beach Resort,Alleppey,Kerala,India - dotted with coconut palm, facing Arabian Sea and Theeyaseril Pozhi (lake) and 4kms from Alleppey town. Blessed by nature on one side and and all backwaters, boarded by coconut palms, a natural habitat of many rare birds. On the other side, an exclusive sunny beach with crystal clear sand. The resort is build on a concept as a fisher man's village were guests has the opportunity to see local fisher man working in traditional Kerala ways.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","JRY Road, Alappuzha 688008 India",Alappuzha,9.4980001,76.333482
Hotel Coral Heights,$ 40,4.0,Free parkingFree High Speed Internet (WiFi)Free breakfastBeachBoatingChildren Activities (Kid / Family Friendly)Pets Allowed ( Dog / Pet Friendly )Airport transportationCar parkSecured parkingParkingFree internetWifiInternetBar / loungeRestaurantWine / champagneWalking toursBusiness Centre with Internet AccessNon-smoking hotelLaundry serviceIroning serviceShoeshine,"Your journeys to this holy land have been a quest to taste a timeless legend that has grown up with history. With worships to shower, pricy offerings to gift Lord Krishna; your each visit to this place has been special. Now making it more special here awaits a towering height of luxury for you to explore at Hotel Coral Heights , Ambalapuzha. Inviting you to the warm comforts is the wide and stunning lobby, carved out to provide services as magical to please your senses Indeed welcome it as though it is the gift of Lord Krishna himself. Comforts galore inside the spacious rooms of Hotel Coral Heights, with lot many amenities helping you have a calm stay in company with serene nature. As Deluxe Rooms and Twin Bed Rooms are devised enough with facilities ranging from LCD Displays to water heaters, your moments spent here are to turn precious. We have four types of rooms such as Executive Suite, Suite, Deluxe and Standard. Caressing you with the royal comforts these smart rooms would please you with these choicest services.",,"Sreekrishna Temple Road Ambalappuzha, Alappuzha 688561 India",Alappuzha,9.38320555,76.36921427930879
Warmth Lake Haven,,4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBadmintonBicycle rentalKids stay freeBabysittingValet parkingCar parkSecured parkingParkingFree internetWifiPublic wifiFree wifi in the business centreFree wired internet in the business centreInternetHot bathPool / beach towelsSwimming pool toysAdult poolOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBreakfast in the roomComplimentary instant cofffeeComplimentary teaComplimentary welcome drinkKid-friendly buffetKids' mealsOutdoor dining areaBicycles availableBoatingDartsFishingKaraokeBoard games / puzzlesChildren's playgroundChildren's television networksChildren Activities (Kid / Family Friendly)Highchairs availableAirport transportationFax / photocopyingPhoto copier / fax In business centreSpaFacial treatmentsFoot bathFoot massageFull body massageHand massageHead massageManicureNeck massagePedicureSteam room24-hour securityBBQ facilitiesBaggage storageConciergeCurrency exchangeGift shopNewspaperNon-smoking hotelOutdoor fireplaceOutdoor furnitureFirst aid kitUmbrella24-hour check-in24-hour front deskExpress check-in / check-outPrivate check-in / check-outDry cleaningLaundry serviceIroning serviceShoeshine,"Warmth Lake Haven, a solitary island situated midst of vast botanical treasures with vibrant variety of birds, lush verdant paddy fields, swaying coconut palms, rippling waterscapes and scenic backwaters opening to Arabian Sea and Vembanad Lake. The resort has 3 acres of greenish landscapes, emerald paddy fields fenced with lake and backwaters. Lake Haven creates incredible memories to share for a life time and its alluring elegance will capture vacationers.","('Ambalapuzha Sree Krishna Temple', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse', 'Alappuzha Beach')","Near Pulikkakaavu Temple Chempumpuram, Alappuzha 688505 India",Alappuzha,9.4980001,76.333482
Haven Alleppey Beach Villa,$ 53,4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastChildren Activities (Kid / Family Friendly)Airport transportationBusiness Centre with Internet AccessConference facilitiesFree internetWifiPublic wifiInternetRestaurantBreakfast availableNon-smoking hotelLaundry service,"Leave Your World Behind. Enjoy your holiday with us. For travelers visiting Alappuzha,Haven Beach Villa is an excellent choice for rest and relax. In the rooms offer a flat screen TV, Complimentary Kettle,Pool Towels,Sampoo, Bath soap and air conditioning, and getting online is easy, with free WiFi available. Guests have access to 24 hour front desk, 24 hour check-in. In addition, Warmth we offers a swimming pool with kids pool and Jacuzzi, Games zone such as Table Tennis, Badminton Court, Chess, Carom etc. A complimentary breakfast is also Included in the price. The main attraction is Beach, that's Just 50 Meter near to our property, which will help make your Alappuzha trip additionally gratifying. And, as an added convenience, there is free parking available for guests. Given the close proximity to Ambalapuzha Sree Krishna Temple (17 km), guests of Haven Beach Villa can easily experience one of Alappuzha's most popular landmarks. If you are interested in exploring Alappuzha, check out such as Backwater trip, Canoeing, Shikkara ride, Marari Beach, Hand-loom Showroom, Cottage Art Expo, Alleppey Coir Museum etc are very near to us.",,"Kanjiramchira, Alappuzha 688007 India",Alappuzha,9.4980001,76.333482
Xandari Riverscapes,,4.5,Street parkingSpecial diet menusCanoeing offsiteBaggage storageNon-smoking hotel,"Xandari Riverscapes Life on the backwaters has a different set of rules. First, since there are no roads we depend on canals, rivers and lakes for our travel routes. Most families have a boat of their own. Children often learn to swim at least as early as they learn to walk-you are likely to see kids splashing in the local equivalent of a playground. Their school buses float, as do the postal vessels delivering to homes here. Even the supermarket floats!River Escapes provides an experience of the backwaters of Kerala in a vessel whose history harkens back to the ancient rice trade of this region while also providing modern comforts. These vessels are designed to balance authenticity and innovation. They are engineered to balance comfort and environmental responsibility - we pioneered the technology now considered the gold standard of emissions reduction. Most importantly they are staffed by members of the local community who are proud to showcase their corner of God's Own Country to visitors.A unique set of waterways in our state's central region allows us to showcase three districts that represent the ""rice bowl"" of Kerala - all by boat. We started operating our houseboats in 2006 and are now the respected leader on the backwaters in terms of environmental responsibility, commitment to the communities where we bring visitors and in terms of guest satisfaction.","('Ambalapuzha Sree Krishna Temple', 'Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum')","A.C. Road Near Pallathurathy Bridge, Alappuzha 688003 India",Alappuzha,9.48870055,76.41256410969626
