Hotel Names,Price,Rating,Amenities,Info,Attractions,Address,City
Abad Turtle Beach,"8,473",4.5,Free parkingFree High Speed Internet (WiFi)SaunaPoolFree breakfastBeachBicycle rentalAirport transportationFree internetWifiInternetPool / beach towelsOutdoor poolRestaurantBreakfast buffetTaxi serviceMeeting roomsSpaFacial treatmentsFoot massageFull body massageHead massageMassage24-hour securityConciergeCurrency exchangeSun umbrellasDry cleaningLaundry service,"Spread across an area of 13 acres of land, Turtle Beach Resort is ideally located at Mararikulam, a fishing village about 30 kms from Kochi. The resort overlooks the white sandy Marari Beach and has a rivulet flowing on one side. Stretching across the expansive area are 16 cottages comprising 29 beach cottages and villa. Facilities: The rooms are spacious, air-conditioned with en-suite toilets and individual patios. Room are equipped with TV, telephone, fridge, tea/coffee maker and individual safe deposit locker, Ayurveda centre, doctor on call, currency exchange, credit card accepted, travel arrangements.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","Mararikulam, Alappuzha 688567 India",Alappuzha
Venice Castle,"1,680",5.0,Free parkingFree High Speed Internet (WiFi)Yoga classesFree breakfastBicycle rentalCanoeing offsiteFax / photocopyingBaggage storageSecured parkingFree internetWifiInternetCurrency exchangeNewspaperShared lounge / TV area24-hour front desk,"Venice castle is the home stay of your dreams It is ideally located in the very heart of the town. Yet, Venice castle is cut off from the din and bustle of the town by wooded surroundings that lends an ambiance of the country side. The home stay is set in large of lush green plants, landscaped premises and a well mowed lawn with garden lights.Peace and alms prevails over the place which is broken only with the chiming of soft bells from the nearby temple, the chirruping of birds or the playful whistling of the squirrels in the tree.",,"Opp.to D.T.P.C Office Behind CANARA Bank, Boat Jetty Road, Alappuzha 688011 India",Alappuzha
Malayalam Lake Resort Homestay,"2,072",4.5,Paid private parking nearbyFree High Speed Internet (WiFi)Breakfast availableCanoeingHikingCar hireFoot massageNon-smoking hotelFree internetWifiPublic wifiInternetFishingFull body massageHand massageHead massageMassageNeck massageExpress check-in / check-outLaundry service,"This is a place with best lake front location in Alleppey, best sleep quality, best in class rooms with wood and bamboo, excellent service with calm and quiet atmosphere...!!!","('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","Near Nehru Trophy Snake Boat Race Starting Point Punnamada Road, East of Tottathodu Bridge, Punnamada, Alappuzha 688006 India",Alappuzha
Cyrus Resorts by Tolins Hotels & Resorts,"4,447",4.0,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBicycle rentalChildren Activities (Kid / Family Friendly)Car hireBaggage storageFree internetWifiPublic wifiInternetOutdoor poolRestaurantBreakfast availableNon-smoking hotelLaundry service,"Cyrus Resorts, Alleppey is situated on the banks of Vembanad Lake with a beautiful view of Pathriramanal Island, west of Kumarakom. It is a signature property of Tolins Hotels & Resorts, offering modern facilities in traditionally designed rooms. With a multi cuisine restaurant and a beautiful pool. The resort is located strategically close to Cochin and Kumarakom making it convenient to access.","('Mararikulam Beach', 'Marari Beach', ""St. Andrew's Basilica Arthunkal"", 'International Coir Museum')","Kayipuram, Near Pathiramanal Jetty, Muhamma, Alappuzha 688525 India",Alappuzha
Lake Castle Alleppey Villa,"1,190",5.0,Free parkingFree High Speed Internet (WiFi)Children Activities (Kid / Family Friendly)Car hire24-hour securityBaggage storage24-hour front deskExpress check-in / check-outParkingFree internetWifiInternetChapel / shrineCurrency exchangeDry cleaning,"Everyone needs a place to lay their weary head. For travellers visiting Alappuzha, Lake Castle Alleppey Villa is an excellent choice for rest and rejuvenation. Well-known for its family-friendly environment and proximity to great restaurants and attractions, Lake Castle Alleppey Villa makes it easy to enjoy the best of Alappuzha.	You’ll enjoy relaxing rooms that offer air conditioning and a seating area, and you can stay connected during your stay as Lake Castle Alleppey Villa offers guests free wifi.	The guest house features 24 hour front desk, currency exchange, and 24 hour security. For guests with a vehicle, free parking is available.	Alappuzha Lighthouse (3.8 km), located nearby, makes Lake Castle Alleppey Villa a great place to stay for those interested in visiting this popular Alappuzha landmark.	If you’re looking for a cafe, consider a visit to Cafe Catamaran, Indian Coffee House, or Cafe Paradiso Espresso Coffee Bar, which are all conveniently located a short distance from Lake Castle Alleppey Villa.	During your visit, be sure to check out Mullakkal Rajeshwari Temple (1.7 km), which is a popular attraction within walking distance of the guest house.	Lake Castle Alleppey Villa is sure to make your visit to Alappuzha one worth remembering.	","('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","Punnamada Boat Jetty Road, Alappuzha 688006 India",Alappuzha
Baywatch Beach Resort,"1,020",4.5,Free parkingFree High Speed Internet (WiFi)Free breakfastBeachPets Allowed ( Dog / Pet Friendly )Shuttle bus serviceMassageBBQ facilitiesCar parkSecured parkingFree internetWifiInternetBreakfast in the roomCar hireBaggage storageCurrency exchangeNewspaperNon-smoking hotelPicnic areaShared kitchen,"This is a cute, neat and green property alongside the coast of the main beach in Alleppey. We have only 6 rooms in total - 4 air conditioned deluxe double rooms and 2 standard double rooms with fan. All rooms have attached washrooms and a patio. Air conditioning, flat screen TV, cable channels come along. Continental/South Indian breakfast is included in the tariff. Have a large open space/lawn with hammocks and swings for you to relax in the nature's lap and/or read a book. Next to Indian Coffee House, other eateries, beer and wine taverns, light house, amusement park etc. Railway station is 1.5 kms, town center 2.5 kms, boat landings 4 kms and nearest airport Kochi, 85 kms away.","('Alappuzha Lighthouse', 'Alappuzha Beach', 'Vijay Beach Park', 'Sea View Park')","Beach Road, Alappuzha 688012 India",Alappuzha
Coir Village Lake Resort,"2,534",3.5,Free parkingWifiFree breakfastBicycle rentalBabysittingAirport transportationSpaConciergeValet parkingParkingPublic wifiCoffee shopRestaurantBreakfast availableCar hireMassageSalonCurrency exchangeNewspaperNon-smoking hotelShops24-hour front deskExpress check-in / check-outDry cleaningLaundry service,"Coir Village Lake Resort is an elegant holiday resort situated in Thrikkunapuzha, Alleppey a small island lying along the backwaters of Kerala. An Ideal heaven to escape from the stress and strain of the day to day life, The resort lies equidistant both from the adjacent towns of Alleppey and Kollam. All of the self-contained cottages face the canal network, and an abundance of oversized hammocks allows guests to soak up the relaxing ambiance. Tours by boat are readily available to take guests to nearby attractions like a number of pilgrim centers, Krishnapuram Palace, Chettikulangara Bhagawathy Temple, or a number of small neighbouring islands. The resort also offers a host of Ayurvedic treatments and packages at the Ayurvedic center attached to the resort in a tranquil and rejuvenating ambience conducive for rejuvenation and healing.",,"SN Junction, Alappuzha 690566 India",Alappuzha
The World Backwaters,"4,656",4.0,Free parkingFree internetFitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Business Centre with Internet AccessConference facilitiesPublic wifiInternetInfinity poolOutdoor poolRestaurantBreakfast buffetMeeting roomsSpaConciergeDry cleaningLaundry service,"THE WORLD BACKWATERS (formerly know as Ilona Lake resort) a 4 star Resort in West Kumarakam, Nestled amidst this scenic landscape of 'God's Own Country' and on the banks of Lake Vembanad, is the perfect getaway for every weary traveler. The resort renders you an unparalleled view of the seemingly boundless Vembanadu Lake with a panoramic spotting of a beautiful island called Pathiramanal. The resort is tucked right into the soul of a real village in Kerala called Kannankara; away from the hustle-bustle of the City, but yet close and accessible to all functional comforts and luxury of a classy resort. Local attractions include Thanneermokkom Bund, Kumarakom Bird Sanctuary,Pathiramanal in Vembnadnad Lake, Alleppey beach,Alleppey, musuem, Ambalapuzha sri krishna temple,Marari Beach, Vaikom Mahadeva Temple and Thirunakkara Mahadeva Temple services and facilities :Multi cuisine Restaurant|| Banquet /Conference hall || Board room || Lake side Swimming Pool || Lake side garden || Fish pond || water Stream || Gym || Ayurveda Treatment center || Gift shop || Free parking ||24 hrs Front desk || Daily Housekeeping in room || Round the clock security service || Kids play area || Travel Desk || Soft bar in room || Wi Fi || Backwater cruise || Paddle boat|| Cycling ||","('Mararikulam Beach', ""St. Andrew's Basilica Arthunkal"", 'Bay Island Driftwood Museum', 'Kerala Stag')","Kannankara Post Thanneermukkam, West Kumarakam, Alappuzha 688 527 India",Alappuzha
Parakkat Nature Hotels & Resorts,"5,052",5.0,Free parkingFree High Speed Internet (WiFi)Pool with viewFree breakfastEntertainment staffChildren's television networksChildren Activities (Kid / Family Friendly)Airport transportationSecured parkingParkingFree internetWifiPublic wifiInternetOutdoor poolRestaurantBreakfast availableBreakfast buffetKids' mealsBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting roomsSpaFoot massageHead massageRooftop terraceBaggage storageConciergeNewspaperNon-smoking hotelButler serviceDoorpersonExpress check-in / check-outPrivate check-in / check-outDry cleaningLaundry service,"The resort boasts 50 luxuriously appointed rooms ranging from classic(no tea valley view), superior(few rooms are offering tea valley view), premium(offering tea valley view) and club suites(offering tea valley view) equipped with every modern convenience and amenities. The magnificent reception lounge, the coffee shop with its unique waterfall and 360 degree view of the well kept tea gardens below and the restaurant serving the very best culinary delicacies specially prepared by our international chefs.Nature related activities are available like Jeep safari,Nature walk into the 'Tea Garden',Camp fire etc.","('Tea Gardens', 'Kalari Kshethra', 'Punarjani Traditional Village', 'Meesapulimala')","2nd Mile, Pallivasal, Munnar 685565 India",Pallivasal
Blanket Hotel & Spa,"11,543",5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Airport transportationSpaFree internetWifiPublic wifiInternetInfinity poolPool with viewOutdoor poolRestaurantBreakfast availableBreakfast buffetTaxi serviceCouples massageMassage24-hour securityBaggage storageConciergeNon-smoking hotelDoorpersonDry cleaningLaundry serviceIroning service,It's a five star facility hotel facing waterfalls in an exotic location middle of Tea Gardens...Munnar,"('Tea Gardens', 'Kalari Kshethra', 'Punarjani Traditional Village', 'Meesapulimala')","Near Attukad Waterfalls, Pallivasal, Munnar 685565 India",Pallivasal
Elixir Hills,"4,656",4.5,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastIndoor play area for childrenChildren Activities (Kid / Family Friendly)Airport transportationParkingFree internetInternetSaunaOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetCar hireBusiness Centre with Internet AccessMeeting roomsSpa24-hour securityBBQ facilitiesBaggage storageConciergeOutdoor fireplaceButler service24-hour front deskDry cleaningLaundry service,"Elixir Hills is an excellent choice for travellers visiting Munnar, offering a romantic environment alongside many helpful amenities designed to enhance your stay.	Given the close proximity to Kerala Farm (4.8 km), guests of Elixir Hills can easily experience one of Munnar's most popular landmarks.	Free wifi is offered to guests, and rooms at Elixir Hills offer a flat screen TV, a minibar, and a kitchenette.	During your stay, take advantage of some of the amenities offered, including 24 hour front desk, a concierge, and room service. Guests of Elixir Hills are also welcome to enjoy a pool and breakfast, located on site. For travellers arriving by car, free parking is available.	Enjoy your stay in Munnar!	","('Tea Gardens', 'Kalari Kshethra', 'Punarjani Traditional Village', 'Meesapulimala')","Near Letchmi Tea Estate Mankulam, Munnar 685612 India",Munnar
Chandys Windy Woods,,5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastBicycles availableEntertainment staffBabysittingFree private parking nearbyValet parkingParkingFree internetWifiPublic wifiInternetYoga classesFitness / spa changing roomsOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetComplimentary welcome drinkKid-friendly buffetOutdoor dining areaIndoor play area for childrenChildren Activities (Kid / Family Friendly)Kids clubKids poolAirport transportationTaxi serviceBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting roomsFax / photocopyingSpaRooftop terrace24-hour securityBaggage storageConciergeGift shopNewspaperOutdoor fireplaceShopsButler serviceDoorperson24-hour front deskExpress check-in / check-outDry cleaningLaundry serviceIroning service,"Chandys Windy Woods is a five star classified hotel located at the Munnar. Set along a hill slope, a short distance from plantation town Munnar, Windy Woods comprises of a series rectangular blocks with white walls and facades of grey stone set along the slope of a hill. Inside, the ambience is one of muted, chic elegance - the lobby, bathed in soft lighting from recesses overhead, wood veneer cloaking the panels on the walls and floor, graphic motifs inspired by the surrounding nature, and chrome and glass fittings that add a touch of the contemporariness. A small flight of steps leads from the lobby to a multi cuisine restaurant and banqueting area. Glass walled elevators with spectacular views of the mountainous landscape transport guests along the gradient of the hill to different parts of the hotel. A remarkable feature of the decor is an enormous faux tree that forms the essence around which the ambient experience of the hotel is woven. Towering over a rocky slope hewn from concrete, gnarled roots extend out and downwards out of an enormous trunk that pushes right through the middle of the structure around which the common areas are designed. An artificial miniature waterfall flows through the roots and over the rocks. The spectacle begins at the top of the slope, extending down to the bottom in a pool formed by the waterfall. Bodhi Tree, Deep Forest, Traditional Village- each of the blocks has been named after an element of nature. The rooms and suites are arrayed beside open corridors. In a niche cut into a rock an ethnic themed coffee shop is situated designed like the rustic tea shops found in most parts of Kerala. Early in the morning and late in the evening the hiss of the waterfall accompanies the primal sounds of jungle cats, bird calls and insects. Outside, balconies in every room and spacious terraces on every floor look out at the forested and tea clad mountain slopes undulating into the haze on the horizon, a vista accompanied by a persistent wind that blows throughout the day. At dawn and often at different times during the course of a day, clouds waft by and trails of mist snake into the valley immediately below. Nestled in a serene grove of silver oak trees amidst stunningly beautiful surroundings and gracious service Windy Woods is quiet simply the epitome of luxury and fine living.","('Tea Gardens', 'Kalari Kshethra', 'Punarjani Traditional Village', 'Meesapulimala')","2nd Mile, Meencut, Chithirapuram, Munnar 685565 India",Chithirapuram
The Leaf Munnar,"5,625",5.0,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastGame roomBilliardsIndoor play area for childrenChildren Activities (Kid / Family Friendly)Valet parkingSecured parkingParkingFree internetWifiPublic wifiInternetPool / beach towelsSwimming pool toysInfinity poolPool with viewOutdoor poolRestaurantBreakfast availableBreakfast buffetSpecial diet menusEntertainment staffEvening entertainmentBoard games / puzzlesKids clubKids' outdoor play equipmentTaxi serviceBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting rooms24-hour securityBaggage storageConciergeNewspaperOutdoor fireplaceOutdoor furnitureDoorperson24-hour front deskExpress check-in / check-outDry cleaningLaundry serviceIroning serviceShoeshine,"Welcome to the choicest abode in the lovely hills of Munnar – The Leaf Munnar. This fine resort with its charming cottages, dotting beautifully landscaped grounds will calm your spirits to match the tranquil nature that surrounds you.This boutique property has been designed to provide breathtaking valley views from the common areas, and hence some of the villas do not have a valley view. The resort grounds give you endless options to lose yourself in nature ; the sweeping grounds offer lovely walking trails which wind around our herb gardens and organic vegetable patches. Relax in the infinity swimming pool with the energizing caress of cool breezes that flow down the misty mountains. How about a culinary lesson in preparing a tasty regional delicacy. Or if it suits you, be gladly welcome to get your hands dirty working on that oldest and most relaxing of hobbies – gardening, plant a seed and let it grow. Watch the stars come out in the unpolluted skies basking in the warmth of a lively fireside. Ways to relax and re-energize are endless at The Leaf Munnar.","('Tea Gardens', 'Kalari Kshethra', 'Punarjani Traditional Village', 'Meesapulimala')","Amakandam - Anachal Chithirapuram P O, Chithirapuram, Munnar 685565 India",Chithirapuram
